Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
Hong Kong West Cluster,HKWC-T007/23(P-QMH),"Supply and Installation of Facility Booms, Ceiling-Mounted for  Department of Cardiothoracic Surgery of Redevelopment Project of Queen Mary  Hospital, Hong Kong West Cluster, Hospital Authority",Open,"Draeger Hong Kong Limited  Room 1701-02, 17/F, APEC Plaza  49 Hoi Yuen Road  Kwun Tong, Kowloon  Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD3.20Mn,30-April-2024
Hong Kong West Cluster,HKWC-T014/23(D2),"Provision of Agency Nurse Service for Tung Wah Hospital, Hong  Kong West Cluster, Hospital Authority",Open,"Evercare Health Limited  Rm 1301 & 1303, 13/F, Leighton Centre,  77 Leighton Road,  Causeway Bay,  Hong Kong.",-,12 months from mutually agreed date,HKD3.97Mn,30-April-2024
New  Territories West Cluster,NWT02023,"Supply and Installation of  Radiographic / Fluoroscopic Units, Mobile for Brachytherapy Systems, Remote  Afterloading for Department of Clinical Oncology of Tuen Mun Hospital of Tuen  Mun Hospital, New Territories West Cluster, Hospital Authority",Open,"Elekta Limited  12/F, Railway Plaza, 39 Chatham Road South  Tsimshatsui, Kowloon  Hong Kong",-,30 April 2024 - 29 April 2025,HKD2.60Mn,30-April-2024
Hong Kong East Cluster,1110492391,"Provision of Nurses and Healthcare Assistants to Hong Kong East  Cluster, Hospital Authority",Open,"Bamboos Professional Nursing Services Limited  Unit 4, 2/F, Wing On Plaza  62 Mody Road, Tsim Sha Tsui East  Kowloon, Hong Kong",-,16 Apr 2024 - 15 Apr 2027,HKD78.00Mn,1-March-2024
Hong Kong East Cluster,1110492391,"Provision of Nurses and Healthcare Assistants to Hong Kong East  Cluster, Hospital Authority",Open,"Evercare Health Limited  Rm 1301 & 1303, 13/F, Leighton Centre  77 Leighton Road, Causeway Bay  Hong Kong",-,16 Apr 2024 - 15 Apr 2027,HKD80.00Mn,1-March-2024
Hong Kong West Cluster,HKWC-T005/22(P-QMH),"Supply and Installation of Monitors, Physiologic, Multipurpose,  Bedside with Clinical Information Systems for Department of Paediatric for  Redevelopment Project of Queen Mary Hospital, Hong Kong West Cluster,  Hospital Authority",Selective,"Philips Electronics Hong Kong Limited  Level 19, Tower I, Grand Century Place, 193 Prince Edward Road West,  Mongkok, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD38.01Mn,4-March-2024
Hospital  Authority Head Office,HAHO(S)/T/23-D072,Supply of Calcitriol Capsule  0.25mcg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong  Kong",-,20 August 2024  - 19 August 2027,HKD14.87Mn,7-March-2024
Hospital  Authority Head Office,HAHO(S)/T/23-D096,Supply of Peditrace  Injection,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong  Kong",-,12 July 2024  - 11 July 2027,HKD12.11Mn,7-March-2024
Hospital  Authority Head Office,HAHO(S)/T/23-D103,Supply of Bisacodyl Rectal  Suppository 10mg,Open,"Pharmason Company  Limited  16/F, Ever Gain Centre, 28 On Muk Street, Shatin, Hong Kong",-,9 August 2024  - 8 August 2027,HKD145.91Mn,7-March-2024
Hospital  Authority Head Office,DSQ23-186,Supply of Migalastat (HCl)  Capsule 123mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong  Kong",-,8 March 2024  - 7 March 2026,HKD22.92Mn,7-March-2024
Hospital  Authority Head Office,DQ23-442,Supply of Levocarnitine  Solution 0.3g/ml 20ml,Limited  (Extreme urgency requirement to meet operational need),"Hong Kong Medical Supplies  Limited  7/F, China Aerospace Centre, 143 Hoi Bun Road, Kwun Tong, Hong Kong",-,28 June 2024  - 27 September 2024,HKD2.41Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/21-D225,Supply of Pyridostigmine Bromide Tablet 60mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,7 June 2024  - 6 June 2027,HKD10.58Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/22-D176,Supply of Febuxostat Tablet 80mg,Open,"Hind Wing Company Limited  Unit 1103B, 11/F., Block B, Seaview Estate, 2-8 Watson Road, North Point,  Hong Kong",-,20 June 2024  -19 June 2027,HKD10.80Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-D022,Supply of Enoxaparin Sodium Injections,Limited  (Absence of competition for technical reasons),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,22 June 2024  -21 June 2027,HKD91.38Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-D090,Supply of Promethazine Compound Linctus,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,3 July 2024  -2 July 2027,HKD15.77Mn,7-March-2024
Hospital Authority Head Office,DSQ23-190,Supply of Cetirizine HCl Solution 1mg/ml,Limited  (Extreme urgency requirement to meet operational need),"GlaxoSmithKline Limited  23/F, Tower 6, The Gateway, 9 Canton Road, Tsimshatsui, Hong Kong",-,29 April 2024  - 28 April 2025,HKD5.04Mn,7-March-2024
Hospital  Authority Head Office,HAHO/(S)/T/20-D248,Supply of Carboplatin  Injection 450mg,Open,"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,15 May 2025  - 14 May 2028,HKD11.90Mn,7-March-2024
Hospital  Authority Head Office,HAHO/(S)/T/23-D014,Supply of  Daunorubicin Hydrochloride for Injection 20mg,Open,"DCH Auriga  (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,3 July 2024  -2 July 207,HKD4.70Mn,7-March-2024
Hospital  Authority Head Office,HAHO(S)/T/23-D052,Supply of Sorafenib Tablet  200mg,Open,"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,3 July 2024  -2 July 2027,HKD2.93Mn,7-March-2024
Hospital  Authority Head Office,HAHO(S)/T/23-D104,Supply of Nilotinib Capsules,Open,"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,1 July 2024  -30 June 2027,HKD121.15Mn,7-March-2024
Hospital  Authority Head Office,HAHO/(S)/T/23-D116,Supply of Biktarvy(or equiv)  Tablet,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga  (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,1 May 2024  -30 April 2026,HKD378.48Mn,7-March-2024
Hospital  Authority Head Office,DSQ23-103,Supply of Trametinib  (Dimethyl Sulfoxide) Tablet 0.5mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,1 April 2024  -31 March 2026,HKD3.42Mn,7-March-2024
Hospital  Authority Head Office,DSQ23-104,Supply of Mineral Nasal  Ointment 20g,Limited  (Extreme urgency requirement to meet operational need),"Hind Wing Company  Limited  Unit 1103B, 11/F., Block B, Seaview Estate, 2-8 Watson Road, North Point, Hong Kong",-,18 August 2024  -17 August 2026,HKD3.14Mn,7-March-2024
Hospital  Authority Head Office,DSQ23-137,Supply of Peginterferon  Alfa-2a Prefilled Syringe 135mcg/0.5ml,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,1 May 2024  -30 April 2026,HKD5.20Mn,7-March-2024
Hospital  Authority Head Office,DSQ23-166,Supply of Dovato (or equiv)  Tablet 50mg/300mg,Limited  (Purchase of products under patents or copyrights coverage),"GlaxoSmithKline  Limited  23/F, Tower 6, The Gateway,  9 Canton Road, Tsim Sha Tsui,",-,7 June 2024  -6 June 2026,HKD126.71Mn,7-March-2024
Hospital  Authority Head Office,DSQ23-169,Supply of Alpelisib (Piqray)  Tablet 200mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,14 March 2024  - 13 March 2026,HKD3.21Mn,7-March-2024
Hospital  Authority Head Office,DSQ23-172,Supply of Phesgo (or equiv)  Injection 80mg+40mg/ml 15ml,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,7 July 2024  -6 July 2026,HKD48.47Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/22-G007,Supply of Patient Transportation Trolley for Hospital Authority,Open,"International Medical Engineering Co., Ltd Flat H, 6/F, Block 2, Wah Fung Industrial Centre, 33-39 Kwai Fung Crescent,  Kwai Fong, Hong Kong",-,1 April 2024 - 31 March 2027,HKD43.92Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/21-D012,Supply of Methylphenidate Hydrochloride Extended-Release Tablets,Open,"DCH Auriga (Hong Kong) Limited-Healthcare Division  11/F, Wyler Centre 1,  202-210 Tai Lin Pai Road,  Kwai Chung, Hong Kong",-,18 June 2024  - 17 June 2027,HKD50.59Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-D018,Supply of Sitagliptin Tablets,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,18 May 2024  - 17 May 2027,HKD91.00Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-D065,Supply of Glimepiride Tablets,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,16 September 2024  - 15 September 2027,HKD10.29Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-D074,Supply of Insulin Degludec Pen 100u/ml 3ml,Limited  (Absence of competition for technical reasons),"DKSH Hong Kong Limited  23/F, Tower A, Southmark,  11 Yip Hing Street,  Wong Chuk Hang, Hong Kon,g",-,30 March 2024  - 29 March 2027,HKD110.88Mn,7-March-2024
Hospital Authority Head Office,DSQ23-187,Supply of Melatonin Capsule 3mg,Limited  (Extreme urgency requirement to meet operational need),"Vita Green Health Products Company Limited  No. 18 Dai Hei Street,  Tai Po Industrial Estate,  Tai Po, New Territories",-,29 August 2024  - 28 August 2026,HKD12.20Mn,7-March-2024
Kowloon Central Cluster,KCC/T/03/003/23/HCH,Tender for Supply and Delivery of Reagents and Consumables for  Nucleic Acid Processors for Hong Kong Children's Hospital,Limited  ( Proprietary products),"Illumina Hong Kong Limited  17/F, Far East Finance Centre,  16 Harcourt Road, Hong Kong",-,7 March 2024 - 6 March 2027,HKD18.10Mn,7-March-2024
Hospital Authority Head Office,DST23-030,Supply of Desferrioxamine Mesilate Injection 500mg,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,1 June 2024  - 31 May 2025,HKD3.18Mn,7-March-2024
Hospital Authority Head Office,DSQ23-035,Supply of Ethambutol HCl Tablet 400mg,Limited  (Extreme urgency requirement to meet operational need),"Mekim Limited  905 Habour Centre, Tower 2  8 Hok Cheung Street  Hunghom, Kowloon, Hong Kong",-,8 April 2024  - 7 April 2025,HKD2.50Mn,7-March-2024
Hospital Authority Head Office,DSQ23-160,Supply of Risankizumab(Skyrizi) Prefilled Pen 150mg/ml 1ml,Limited  (Extreme urgency requirement to meet operational need),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,7-March 2024  - 6 March 2026,HKD9.90Mn,7-March-2024
Hospital Authority Head Office,HAHO(S)/T/21-D187,Supply of Zoledronic Acid Infusion 4mg,Open,"I & C (Hong Kong) Limited Unit J, 10/F, World Tech Centre 95 How Ming Street Kwun Tong, Kowloon",-,1 September 2024 - 31 August 2027,HKD1.77Mn,7-March-2024
New Territories East Cluster,NTEC/P&MM/T5/2324/T006,"Supply and Replacement of Lifts in Block F and J at Alice Ho Miu  Ling Nethersole Hospital, New Territories East Cluster, Hospital Authority",Selective,"KONE Elevator (HK) Limited  11/F, Two Harbour Square, 180 Wai Yip Street,  Kwun Tong, Kowloon",-,8 March 2024  - 7 March 2027,HKD10.70Mn,8-March-2024
New Territories East Cluster,NTEC/P&MM/T6/CBV2324-19319-T002,"Supply & Installation of Workstations, Radiotherapy,  Planning for Prince of Wales Hospital, New Territories East Cluster, Hospital  Authority",Open,"Varian Medical Systems, Inc. Room 1402-07, Tower 1, The Gateway, Harbour City, 25 Canton Road,  Tsimshatsui, Kowloon, Hong Kong",,One off,HKD6.42Mn,13-March-2024
Kowloon West Cluster,KWC/N/003-23,"Provision of Food Production Services for Hospital Authority  Supporting Services Centre, Hospital Authority",Open,"Maxim’s Caterers Limited  18/F. Maxim’s Centre, 17 Cheung Shun Street, Cheung Sha Wan, Kowloon",-,1 October 2024 - 30 September 2027,HKD50.65Mn,21-March-2024
New Territories West Cluster,NWT00823,"Supply and Installation of Lifts, Patient Transfer, Overhead  Track for Department of Medicine and Geriatrics of Tuen Mun Hospital, New  Territories West Cluster, Hospital Authority",Open,"Arjo Hong Kong Limited  Room 411 – 414, 4/F, Manhattan Centre  8, Kwai Cheong Road  Kwai Chung, N. T.",-,22 March 2024 - 21 March 2028,HKD7.54Mn,22-March-2024
Kowloon Central Cluster,KCC/T/H12/017/22/KC,"Supply and Installation of Integrated Telecommunication System and Provision  of Maintenance and Mobile Subscription Plan Services for New Acute Hospital at Kai Tak Development  Area, Kowloon Central Cluster, Hospital Authority",Open,"ST Engineering INFA Systems Limited 17/F, 169 Electric Road  North Point, Hong Kong",-,With effect from the date of Letter of Acceptance to fulfilment  of contract obligations,HKD125.52Mn,22-March-2024
Kowloon West Cluster,KWC/P/107-23,"Provision of Rehabilitation Shop and Tuck Shop Service for  Princess Margaret Hospital, Kowloon West Cluster, Hospital Authority",Open,"MentalCare Connect Company Limited  Room 1206, 12/F, Houtex Industrial Building, 16 Hung To Road, Kwun Tong,  Kowloon",-,21 May 2024 - 20 May 2029,HKD1.89Mn,25-March-2024
Kowloon West Cluster,KWC/P/118-23,"Provision of Tenancy of Off-site Store for Additional Storage  for Supporting Services Department, Princess Margaret Hospital, Kowloon West  Cluster, Hospital Authority",Open,"Merit Kingdom Limited  Rm A, 9/F, Wing Sing Comm Ctr  12 Wing Lok St  Sheung Wan, HK",-,27 May 2024  - 26 May 2027,HKD3.01M,25-March-2024
Kowloon West Cluster,KWC/K/020-23,"Provision of Integrated Relocation Services for Phase II  Commissioning of Kwai Chung Hospital, Kowloon West Cluster, Hospital  Authority",Open,"ISS Mediclean (HK) Limited  6/F, Dorset House, Taikoo Place  979 King's Road, Quarry Bay, HK",Group A,1 August 2024 - 31 July 2025,HKD2.63Mn,25-March-2024
Kowloon West Cluster,KWC/K/020-23,"Provision of Integrated Relocation Services for Phase II  Commissioning of Kwai Chung Hospital, Kowloon West Cluster, Hospital  Authority",Open,"Winson Cleaning Service Company Limited  Unit 1926, 19/F., Global Plaza  No. 1 Sha Tsui Road, Tsuen Wan  New Territories, Hong Kong",Group B,1 August 2024 - 31 July 2025,HKD1.73Mn,25-March-2024
Kowloon West Cluster,KWC/A/071-23,"Supply of Gravity Feeding Bags for Kowloon West Cluster,  Hospital Authority",Open,"Realplus Asia Limited  Room B, 5/F, Golden Bear Industrial Centre, 66-82 Chai Wan Kok Street,  Tsuen Wan, New Territories, Hong Kong",-,16 June 2024 - 15 June 2027,HKD2.23Mn,25-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-IT004(G),"Tender for the Provision of Data Centre Site Preparation Tools  and Professional Services, and Data Centre Infrastructure Management System  Licenses and Maintenance Services",Open,"Roctec Technology Limited Room 1502-4, 15/F Kodak House II, 321 Java Road, North Point, Hong Kong",Category A,1 April 2024 - 31 March 2027,HKD24.39Mn,25-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-IT004(G),"Tender for the Provision of Data Centre Site Preparation Tools  and Professional Services, and Data Centre Infrastructure Management System  Licenses and Maintenance Services",Open,"AEM Technology Limited Unit 1304, 13/F, Kodak House Phase 2, North Point, Hong Kong",Category B,1 April 2024 - 31 March 2027,HKD11.24Mn,25-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-IT004(G),"Tender for the Provision of Data Centre Site Preparation Tools  and Professional Services, and Data Centre Infrastructure Management System  Licenses and Maintenance Services",Open,"AEM Technology Limited Unit 1304, 13/F, Kodak House Phase 2, North Point, Hong Kong",Category C,1 April 2024 - 31 March 2027,HKD5.70Mn,25-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-IT007(G),Tender for the Provision of Network Infrastructure and Services,Open,"Automated Systems (H.K.) Limited 15/F, Topsail Plaza  11 On Sum Sreet Shatin, N.T.","Category D: Expansion, upgrade and maintenance of Existing  Network Security Equipment and Related Accessories",1 May 2024 - 30 April 2027,HKD146.98Mn,25-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-IT007(G),Tender for the Provision of Network Infrastructure and Services,Open,"Hong Kong Telecommunications (HKT) Limited 39/F, PCCW Tower  Taikoo Place, 979 King’s Road, Quarry Bay, Hong Kong","Category B: Expansion, upgrade and maintenance of the existing  Huawei Layer-3/2 Ethernet Switches, Wireless LAN network equipment and  Related Accessories",1 May 2024 - 30 April 2027,HKD198.25Mn,25-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-IT007(G),Tender for the Provision of Network Infrastructure and Services,Open,"Hong Kong Telecommunications (HKT) Limited 39/F, PCCW Tower  Taikoo Place, 979 King’s Road, Quarry Bay, Hong Kong","Category C: Expansion, upgrade and maintenance of the existing  Cisco Layer-3/2 Ethernet Switches, Routers, Wireless LAN network equipment  and Related Accessories",1 June 2024 - 31 May 2027,HKD49.73Mn,25-March-2024
Hospital Authority Head Office,HAHO(S)/T/23-IT007(G),Tender for the Provision of Network Infrastructure and Services,Open,"Integrated Global Solutions Limited Room 1501, 15/F  Millennium City 5  418 Kwun Tong Road  Kwun Tong, Kowloon  Hong Kong","Category A: Layer-3/2 Ethernet Switches, Network Firewall,  Related Network Equipment and Related Accessories",1 May 2024 - 30 April 2027,HKD75.94Mn,25-March-2024
